App,Metric,Mean,SD
Calorie Cue AI,Calories,41.056162578335446,73.04750526819343
Calorie Cue AI,Carbs,45.892910211427356,71.74376069261146
Calorie Cue AI,Fats,78.17074592074593,135.47426834278787
Calorie Cue AI,Proteins,40.163236576094974,106.44672643864897
Calorix AI,Calories,25.085140720316367,45.06681418069986
Calorix AI,Carbs,18.895186671208183,72.22765236972198
Calorix AI,Fats,97.66390626916943,100.7971325149597
Calorix AI,Proteins,27.832339266751706,98.08232975189108
Nutri AI-Photo input only,Calories,20.615577267850597,64.28553870751199
Nutri AI-Photo input only,Carbs,45.704255465548215,96.00201922882842
Nutri AI-Photo input only,Fats,14.107082975504028,59.39286856057139
Nutri AI-Photo input only,Proteins,16.416009653289233,57.605045356198474
NutriAI-Photo+ Audio Input,Calories,21.957103472847518,52.90647779330285
NutriAI-Photo+ Audio Input,Carbs,38.20867818451425,53.42315064197607
NutriAI-Photo+ Audio Input,Fats,44.59548930601562,101.24327012868986
NutriAI-Photo+ Audio Input,Proteins,18.598469212246304,50.15646548892175
arise,Calories,46.219604367817055,52.17349879185069
arise,Carbs,32.78428751731026,67.91545974181659
arise,Fats,147.9069337095653,166.58116511426707
arise,Proteins,65.83229172675935,106.57069802275231
